
--- Minimize function Ackley-10dim

TTOpt        | t=   3.0 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
GA           | t=   6.0 | ey=1.1e-01 | evals=1.0e+05
GA           | t=   6.0 | ey=8.9e-02 | evals=1.0e+05
GA           | t=   5.9 | ey=9.6e-02 | evals=1.0e+05
GA           | t=   6.0 | ey=1.0e-01 | evals=1.0e+05
GA           | t=   6.0 | ey=1.1e-01 | evals=1.0e+05
GA           | t=   6.2 | ey=8.7e-02 | evals=1.0e+05
GA           | t=   6.6 | ey=9.4e-02 | evals=1.0e+05
GA           | t=   6.2 | ey=9.6e-02 | evals=1.0e+05
GA           | t=   6.6 | ey=8.2e-02 | evals=1.0e+05
GA           | t=   6.5 | ey=1.1e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.7 | ey=1.9e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.8 | ey=2.0e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=1.7e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=1.7e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=2.1e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=1.9e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=1.8e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=1.9e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=1.6e-01 | evals=1.0e+05
ES-OpenAI    | t=   2.7 | ey=1.7e-01 | evals=1.0e+05
ES-CMA       | t=  10.5 | ey=7.7e-34 | evals=1.0e+05
ES-CMA       | t=  10.3 | ey=7.7e-34 | evals=1.0e+05
ES-CMA       | t=  10.3 | ey=7.7e-34 | evals=1.0e+05
ES-CMA       | t=  10.3 | ey=7.7e-34 | evals=1.0e+05
ES-CMA       | t=  10.8 | ey=5.1e+288 | evals=1.0e+05
ES-CMA       | t=  10.2 | ey=1.6e+01 | evals=1.0e+05
ES-CMA       | t=  10.1 | ey=1.3e+01 | evals=1.0e+05
ES-CMA       | t=  10.1 | ey=1.2e+01 | evals=1.0e+05
ES-CMA       | t=  10.7 | ey=8.2e+281 | evals=1.0e+05
ES-CMA       | t=  10.2 | ey=9.7e+00 | evals=1.0e+05
DE           | t=  38.2 | ey=2.9e-01 | evals=1.0e+05
DE           | t=  38.6 | ey=1.2e-01 | evals=1.0e+05
DE           | t=  38.8 | ey=3.2e+00 | evals=1.0e+05
DE           | t=  38.5 | ey=5.1e-03 | evals=1.0e+05
DE           | t=  38.5 | ey=3.4e-02 | evals=1.0e+05
DE           | t=  39.1 | ey=2.8e+00 | evals=1.0e+05
DE           | t=  39.8 | ey=6.9e-04 | evals=1.0e+05
DE           | t=  40.6 | ey=1.3e+00 | evals=1.0e+05
DE           | t=  38.2 | ey=3.3e+00 | evals=1.0e+05
DE           | t=  38.7 | ey=1.6e-01 | evals=1.0e+05
NB           | t=  44.8 | ey=1.5e+01 | evals=1.0e+05
NB           | t=  44.7 | ey=1.5e+01 | evals=1.0e+05
NB           | t=  45.2 | ey=1.4e+01 | evals=1.0e+05
NB           | t=  44.8 | ey=1.5e+01 | evals=1.0e+05
NB           | t=  45.7 | ey=1.5e+01 | evals=1.0e+05
NB           | t=  44.9 | ey=1.5e+01 | evals=1.0e+05
NB           | t=  45.4 | ey=1.4e+01 | evals=1.0e+05
NB           | t=  45.2 | ey=1.4e+01 | evals=1.0e+05
NB           | t=  44.8 | ey=1.5e+01 | evals=1.0e+05
NB           | t=  46.8 | ey=1.4e+01 | evals=1.0e+05
PSO          | t=  44.2 | ey=1.5e+01 | evals=1.0e+05
PSO          | t=  43.3 | ey=9.3e+00 | evals=1.0e+05
PSO          | t=  49.5 | ey=1.3e+01 | evals=1.0e+05
PSO          | t=  49.8 | ey=8.2e+00 | evals=1.0e+05
PSO          | t=  46.5 | ey=1.6e+01 | evals=1.0e+05
PSO          | t=  47.6 | ey=1.4e+01 | evals=1.0e+05
PSO          | t=  49.7 | ey=1.1e+01 | evals=1.0e+05
PSO          | t=  47.2 | ey=1.4e+01 | evals=1.0e+05
PSO          | t=  46.2 | ey=1.1e+01 | evals=1.0e+05
PSO          | t=  48.0 | ey=9.9e+00 | evals=1.0e+05



--- Minimize function Alpine-10dim

TTOpt        | t=   2.4 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.8e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=2.8e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.8e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.8e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.9e-07 | evals=1.0e+05 | p=2, q=25, r=  4
GA           | t=   4.6 | ey=8.9e-03 | evals=1.0e+05
GA           | t=   4.6 | ey=8.9e-03 | evals=1.0e+05
GA           | t=   4.5 | ey=8.8e-03 | evals=1.0e+05
GA           | t=   4.6 | ey=7.6e-03 | evals=1.0e+05
GA           | t=   4.6 | ey=8.3e-03 | evals=1.0e+05
GA           | t=   4.6 | ey=9.7e-03 | evals=1.0e+05
GA           | t=   4.5 | ey=8.5e-03 | evals=1.0e+05
GA           | t=   4.6 | ey=8.0e-03 | evals=1.0e+05
GA           | t=   4.5 | ey=7.1e-03 | evals=1.0e+05
GA           | t=   4.5 | ey=8.8e-03 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.1e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.2e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.1e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.3e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.3e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.1e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.2e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.1e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.3e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=1.1e-02 | evals=1.0e+05
ES-CMA       | t=   8.6 | ey=5.0e-05 | evals=1.0e+05
ES-CMA       | t=   8.5 | ey=4.0e-05 | evals=1.0e+05
ES-CMA       | t=   8.5 | ey=2.0e-05 | evals=1.0e+05
ES-CMA       | t=   8.5 | ey=3.0e-05 | evals=1.0e+05
ES-CMA       | t=   8.5 | ey=9.1e-01 | evals=1.0e+05
ES-CMA       | t=   8.7 | ey=4.1e-01 | evals=1.0e+05
ES-CMA       | t=   8.5 | ey=6.0e-05 | evals=1.0e+05
ES-CMA       | t=   8.5 | ey=8.7e-01 | evals=1.0e+05
ES-CMA       | t=   8.5 | ey=4.0e-05 | evals=1.0e+05
ES-CMA       | t=   8.4 | ey=8.7e-01 | evals=1.0e+05
DE           | t=  37.0 | ey=1.2e-01 | evals=1.0e+05
DE           | t=  37.0 | ey=4.1e-02 | evals=1.0e+05
DE           | t=  37.5 | ey=7.9e-04 | evals=1.0e+05
DE           | t=  36.9 | ey=8.5e-02 | evals=1.0e+05
DE           | t=  36.8 | ey=8.2e-03 | evals=1.0e+05
DE           | t=  37.9 | ey=5.7e-02 | evals=1.0e+05
DE           | t=  36.9 | ey=4.9e-02 | evals=1.0e+05
DE           | t=  37.6 | ey=3.0e-02 | evals=1.0e+05
DE           | t=  40.0 | ey=4.0e-02 | evals=1.0e+05
DE           | t=  43.1 | ey=2.2e-03 | evals=1.0e+05
NB           | t=  49.9 | ey=7.0e+00 | evals=1.0e+05
NB           | t=  50.9 | ey=7.3e+00 | evals=1.0e+05
NB           | t=  48.8 | ey=6.7e+00 | evals=1.0e+05
NB           | t=  48.1 | ey=4.8e+00 | evals=1.0e+05
NB           | t=  46.5 | ey=8.1e+00 | evals=1.0e+05
NB           | t=  48.8 | ey=5.1e+00 | evals=1.0e+05
NB           | t=  44.7 | ey=7.1e+00 | evals=1.0e+05
NB           | t=  43.3 | ey=5.6e+00 | evals=1.0e+05
NB           | t=  44.7 | ey=8.0e+00 | evals=1.0e+05
NB           | t=  44.1 | ey=4.9e+00 | evals=1.0e+05
PSO          | t=  46.8 | ey=5.6e+00 | evals=1.0e+05
PSO          | t=  47.4 | ey=6.7e+00 | evals=1.0e+05
PSO          | t=  46.4 | ey=3.8e+00 | evals=1.0e+05
PSO          | t=  45.1 | ey=4.7e+00 | evals=1.0e+05
PSO          | t=  47.9 | ey=6.5e+00 | evals=1.0e+05
PSO          | t=  46.3 | ey=6.8e+00 | evals=1.0e+05
PSO          | t=  47.9 | ey=4.2e+00 | evals=1.0e+05
PSO          | t=  49.0 | ey=5.5e+00 | evals=1.0e+05
PSO          | t=  45.4 | ey=7.7e+00 | evals=1.0e+05
PSO          | t=  48.2 | ey=1.5e+00 | evals=1.0e+05



--- Minimize function Brown-10dim

TTOpt        | t=   2.6 | ey=2.3e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=8.7e-14 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=4.7e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=2.5e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=1.6e-14 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.5e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=4.6e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=1.2e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=1.6e-13 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=1.6e-14 | evals=1.0e+05 | p=2, q=25, r=  4
GA           | t=   5.2 | ey=4.0e-03 | evals=1.0e+05
GA           | t=   5.1 | ey=4.4e-03 | evals=1.0e+05
GA           | t=   5.1 | ey=6.3e-03 | evals=1.0e+05
GA           | t=   5.2 | ey=6.6e-03 | evals=1.0e+05
GA           | t=   5.1 | ey=5.0e-03 | evals=1.0e+05
GA           | t=   5.0 | ey=6.4e-03 | evals=1.0e+05
GA           | t=   5.0 | ey=7.5e-03 | evals=1.0e+05
GA           | t=   5.0 | ey=4.8e-03 | evals=1.0e+05
GA           | t=   5.0 | ey=6.5e-03 | evals=1.0e+05
GA           | t=   5.2 | ey=6.4e-03 | evals=1.0e+05
ES-OpenAI    | t=   1.7 | ey=2.0e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.7 | ey=1.7e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.7 | ey=1.6e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.6 | ey=1.4e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.6 | ey=1.9e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.6 | ey=2.2e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.6 | ey=1.6e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.6 | ey=1.8e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.6 | ey=1.5e-02 | evals=1.0e+05
ES-OpenAI    | t=   1.8 | ey=1.9e-02 | evals=1.0e+05
ES-CMA       | t=   9.5 | ey=4.4e-77 | evals=1.0e+05
ES-CMA       | t=   9.4 | ey=2.6e-77 | evals=1.0e+05
ES-CMA       | t=   9.3 | ey=3.5e-77 | evals=1.0e+05
ES-CMA       | t=   9.4 | ey=2.7e-77 | evals=1.0e+05
ES-CMA       | t=   9.5 | ey=2.7e-76 | evals=1.0e+05
ES-CMA       | t=   9.4 | ey=1.6e-79 | evals=1.0e+05
ES-CMA       | t=   9.5 | ey=1.2e-76 | evals=1.0e+05
ES-CMA       | t=   9.3 | ey=2.5e-78 | evals=1.0e+05
ES-CMA       | t=   9.4 | ey=4.1e-76 | evals=1.0e+05
ES-CMA       | t=   9.4 | ey=8.8e-78 | evals=1.0e+05
DE           | t=  41.2 | ey=1.2e-02 | evals=1.0e+05
DE           | t=  40.3 | ey=5.4e-02 | evals=1.0e+05
DE           | t= 148.4 | ey=2.1e-31 | evals=1.0e+05
DE           | t=  39.7 | ey=2.4e-23 | evals=1.0e+05
DE           | t=  39.6 | ey=8.4e-03 | evals=1.0e+05
DE           | t=  41.0 | ey=1.8e-01 | evals=1.0e+05
DE           | t=  40.3 | ey=2.3e-05 | evals=1.0e+05
DE           | t=  39.3 | ey=8.9e-06 | evals=1.0e+05
DE           | t=  40.3 | ey=6.9e-02 | evals=1.0e+05
DE           | t=  40.5 | ey=4.6e-03 | evals=1.0e+05
NB           | t=  36.2 | ey=2.8e+01 | evals=1.0e+05
NB           | t=  35.1 | ey=2.7e+01 | evals=1.0e+05
NB           | t=  34.3 | ey=4.7e+01 | evals=1.0e+05
NB           | t=  37.2 | ey=7.2e+01 | evals=1.0e+05
NB           | t=  36.7 | ey=1.2e+01 | evals=1.0e+05
NB           | t=  42.1 | ey=2.6e+01 | evals=1.0e+05
