
--- Minimize function Ackley-10dim

TTOpt        | t=   0.9 | ey=9.7e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.3 | ey=1.4e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.1 | ey=1.2e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=8.1e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.0 | ey=6.8e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.0 | ey=4.8e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.0 | ey=5.9e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.0 | ey=9.2e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.0 | ey=6.3e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.0 | ey=5.8e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   3.4 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   3.5 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   4.5 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   4.8 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   6.0 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   5.3 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   4.0 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   3.5 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   4.6 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.2 | ey=3.9e-06 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   5.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   4.4 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
