
--- Minimize function Ackley-10dim

TTOpt        | t=   0.8 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   1.2 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.8 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.8 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.8 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=1.2e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   3.2 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.0 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.0 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.2 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.1 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.1 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.1 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.8 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.1 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   3.0 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   1.8 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   2.7 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   2.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   2.3 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   3.7 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   3.7 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   2.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.8 | ey=1.6e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.6 | ey=1.8e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.4 | ey=1.5e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.5 | ey=1.6e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.4 | ey=1.0e+01 | evals=1.0e+05 | n= 1024, r=  4
